game_id,seed,bot1,bot2,score1,score2,bonus1,bonus2,winner,rounds,total_turns
82,324,ReedyBot,PlannedBot,27,45,(+2),(+6),1,5,55
83,325,ReedyBot,PlannedBot,50,56,(+4),(+4+7),1,5,51
84,326,ReedyBot,PlannedBot,47,45,(+4),(+4+10),0,5,56
85,327,ReedyBot,PlannedBot,40,52,(+2+7),(+4+7),1,5,52
86,328,ReedyBot,PlannedBot,46,43,(+4),(+2+7),0,5,48
87,329,ReedyBot,PlannedBot,63,33,(+4),(+4),0,5,53
88,330,ReedyBot,PlannedBot,44,68,(+4),(+4+7),1,5,47
89,331,ReedyBot,PlannedBot,37,35,(+4),(+2),0,5,50
90,332,ReedyBot,PlannedBot,51,46,(+2),(+4),0,5,50
91,333,ReedyBot,PlannedBot,63,40,(+4+7),(+2),0,5,52
92,334,ReedyBot,PlannedBot,44,50,(+4),(+4+7),1,5,50
93,335,ReedyBot,PlannedBot,38,60,(+10),(+2+7+10),1,5,53
94,336,ReedyBot,PlannedBot,44,73,(+4),(+4+7),1,5,52
95,337,ReedyBot,PlannedBot,53,29,(+4),(+4),0,5,50
96,338,ReedyBot,PlannedBot,79,35,(+4+7+10),(+0),0,5,49
97,339,ReedyBot,PlannedBot,60,65,(+4+7),(+4+7),1,5,53
98,340,ReedyBot,PlannedBot,64,54,(+4+7),(+2+7),0,5,57
99,341,ReedyBot,PlannedBot,71,31,(+4+7),(+4),0,5,50
