game_id,seed,bot1,bot2,score1,score2,bonus1,bonus2,winner,rounds,total_turns
86,228,PlannedBot,RandomBot,52,11,(+0),(+0),-1,6,50
87,229,PlannedBot,RandomBot,72,24,(+4+10),(+7),0,5,49
88,230,PlannedBot,RandomBot,31,20,(+2),(+7),0,5,51
89,231,PlannedBot,RandomBot,48,12,(+4),(+0),0,5,50
90,232,PlannedBot,RandomBot,57,8,(+4+10),(+2),0,5,50
91,233,PlannedBot,RandomBot,26,25,(+2),(+7),0,5,49
92,234,PlannedBot,RandomBot,58,30,(+4),(+7),0,5,56
93,235,PlannedBot,RandomBot,42,5,(+0),(+0),-1,6,53
94,236,PlannedBot,RandomBot,34,10,(+4),(+0),0,5,51
95,237,PlannedBot,RandomBot,59,0,(+2+10),(+0),0,5,53
96,238,PlannedBot,RandomBot,50,28,(+4),(+2),0,5,50
97,239,PlannedBot,RandomBot,61,8,(+4+10),(+0),0,5,52
98,240,PlannedBot,RandomBot,50,13,(+2+7),(+0),0,5,52
99,241,PlannedBot,RandomBot,43,3,(+6),(+0),0,5,48
